Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1,1,9.0,-0.20465973,-0.15379545,3
1,2,10.0,0.054152764,0.09631089,3
1,3,10.0,0.28319263,0.32669502,3
1,4,10.0,0.5227874,0.5627679,3
1,5,10.0,0.7459501,0.78940785,3
1,6,9.0,0.8730373,0.9104597,3
1,7,8.0,0.9366901,0.9715251,3
1,8,10.0,1.3595215,1.3092095,3
1,9,9.0,1.3522364,1.303424,3
1,10,9.0,1.4636217,1.4124087,3
1,11,10.0,1.4418693,1.4019736,3
1,12,8.0,1.5402713,1.498511,3
1,13,9.0,1.8174292,1.7681478,3
1,14,10.0,2.0768733,2.0129375,3
1,15,10.0,2.2841277,2.2187982,3
1,16,10.0,2.5015223,2.4316406,3
1,17,8.0,2.2422912,2.1866214,3
1,18,9.0,2.648504,2.5751393,3
1,19,9.0,2.8429863,2.763949,3
1,20,9.0,2.9930997,2.9205651,3
1,21,10.0,3.653566,3.5382607,3
1,22,9.0,3.6571524,3.5534682,3
1,23,10.0,4.257888,4.143763,3
1,24,9.0,4.3442483,4.2250195,3
1,25,10.0,5.2200165,5.060326,3
1,26,10.0,5.796628,5.6207,3
1,27,9.0,5.812958,5.6563635,3
1,28,8.0,5.807151,5.659523,3
1,29,9.0,6.9742928,6.7619467,3
1,30,10.0,8.07849,7.818301,3
1,31,9.0,8.441507,8.175845,3
1,32,8.0,8.116587,7.8953257,3
1,33,9.0,9.817185,9.51146,3
1,34,9.0,11.234213,10.845033,3
1,35,10.0,13.561139,13.044838,3
1,36,9.0,14.179497,13.667331,3
1,37,10.0,17.772367,17.020235,3
1,38,9.0,18.340006,17.625496,3
1,39,10.0,23.135029,22.082104,3
1,40,8.0,21.653429,20.82133,3
1,41,9.0,27.479553,26.230783,3
1,42,10.0,35.924927,34.039032,3
1,43,10.0,44.095913,41.588673,3
1,44,9.0,47.746643,45.148228,3
1,45,9.0,56.544643,53.279488,3
1,46,8.0,59.05026,55.843723,3
1,47,9.0,79.68031,74.51797,3
1,48,9.0,97.7227,90.94278,3
1,49,9.0,126.39374,116.67591,3
1,50,8.0,136.35876,126.45731,3